"AppName","Publisher"
"1Password","AgileBits Inc."
"1Password (Machine Install)","AgileBits Inc."
"3CXPhone for Windows","3CX"
"3Dconnexion 3DxWare 10","3Dconnexion"
"4K Video Downloader","Open Media LLC"
"4K Video Downloader+","Open Media LLC"
"7-Zip","Igor Pavlov"
"8x8 Work","8x8 Inc."
"Acrobat Pro (64-bit)","Adobe"
"Acronis Cyber Protect Home Office","Acronis"
"AdGuard","Adguard Software Ltd"
"Adobe Acrobat Reader DC (32-bit)","Adobe"
"Adobe Acrobat Reader DC (64-bit)","Adobe"
"Adobe Connect","Adobe"
"Adobe Creative Cloud","Adobe Inc."
"AdoptOpenJDK JDK with Hotspot 11","AdoptOpenJDK"
"Advanced Installer","Caphyon"
"Advanced IP Scanner","Famatech"
"Advanced Renamer","Hulubulu Software"
"Aircall","Aircall"
"Airtame","Airtame"
"Alacritty","Alacritty"
"AltDrag","Stefan Sundin"
"Amazon Chime","Amazon.com, Inc."
"Amazon Corretto 11","Amazon"
"Amazon Corretto 17","Amazon"
"Amazon Corretto 21","Amazon"
"Amazon Corretto 8","Amazon"
"Amazon WorkSpaces","Amazon Web Services, Inc"
"Anaconda3","Anaconda, Inc."
"Android Studio","Google LLC"
"Another Redis Desktop Manager","Another"
"AnyDesk","AnyDesk Software GmbH"
"Anydo","Any.do"
"AnythingLLM","Mintplex Labs Inc"
"Anytype","Any Association"
"Appium Server GUI","Appium Developers"
"AquaSnap","Nurgo Software"
"Arduino IDE","Arduino SA"
"Asana","Asana, Inc."
"AstroGrep","AstroComma, Inc."
"Atom","GitHub Inc."
"Audacity","Audacity Team"
"Authy Desktop","Twilio Inc."
"AutoHotkey","Lexikos"
"AWS Command Line Interface","Amazon Web Services"
"AWS SAM Command Line Interface","AWS Serverless Applications"
"AWS VPN Client","Amazon"
"AXIS Camera Station","Axis Communications AB"
"AzCopy v10","Microsoft Corporation"
"Azul Zulu JRE 17","Azul Systems, Inc."
"Azure Cosmos DB Emulator","Microsoft  Corporation"
"Azure Data CLI","Microsoft Corporation"
"Azure Data Studio","Microsoft Corporation"
"Azure Functions Core Tools","Microsoft"
"Azure Monitor Agent","Microsoft Corporation"
"balena-cli","Balena Inc. (https://balena.io/)"
"balenaEtcher","Balena Inc."
"Balsamiq Wireframes","Balsamiq"
"Bambu Studio","Bambu Lab"
"Bandicam","Bandicam.com"
"Beats winlogbeat","Elastic"
"Beekeeper Studio","Beekeeper Studio Team"
"Beeper","Beeper Inc."
"Belarc Advisor","Belarc, Inc."
"Beyond Compare 4","Scooter Software"
"Beyond Compare 5","Scooter Software"
"Bicep CLI","Microsoft Corporation"
"Bing Wallpaper","Microsoft Corporation"
"Bitvise SSH Client","Bitvise Limited"
"Bitwarden","Bitwarden Inc."
"Bitwarden (Machine Install)","Bitwarden Inc."
"Blender","Blender Foundation"
"BluebeamOCR 21","Bluebeam, Inc."
"Bluebeam Revu 21","Bluebeam, Inc."
"Bluebook","College Board"
"BlueJ","BlueJ Team"
"BlueJeans","BlueJeans Network, Inc."
"Bot Framework Composer","Microsoft Corporation"
"Bot Framework Emulator","Microsoft Corporation"
"Box","Box, Inc."
"Brave","Brave Software Inc"
"Brave (Machine Install)","Brave Software Inc"
"Bruno","Anoop M D"
"Burp Suite Community Edition","PortSwigger Web Security"
"Burp Suite Professional","PortSwigger Web Security"
"Caesium Image Compressor","SaeraSoft"
"calibre","Kovid Goyal"
"Camtasia","TechSmith Corporation"
"Canva","Canva Pty Ltd"
"CapCut","Bytedance Pte. Ltd."
"Cato Client","Cato Networks"
"CCleaner","Piriform"
"Chocolatey","Chocolatey Software, Inc."
"Cisco Jabber","Cisco Systems, Inc"
"Cisco Webex Meetings","Cisco Webex LLC"
"Citrix Workspace","Citrix Systems, Inc."
"Citrix Workspace LTSR","Citrix Systems, Inc."
"Clockodo","Clockodo GmbH"
"Cloud Drive Mapper","IAM Technology Group Ltd"
"Cloudflare WARP","Cloudflare, Inc."
"CMake","Kitware"
"Coder","Coder Technologies, Inc."
"Convene","Convene"
"CopyQ","Lukas Holecek"
"CORSAIR iCUE 4 Software","Corsair"
"CPUID CPU-Z","CPUID, Inc."
"CPUID HWMonitor","CPUID, Inc."
"Craft","Luki Labs Ltd."
"CrashPlan SMB","CrashPlan Group LLC"
"Cryptomator","Skymatic GmbH"
"CrystalDiskInfo","Crystal Dew World"
"Cursor","Cursor AI, Inc."
"CutePDF Writer","Acro Software Inc."
"Cyberduck","iterate GmbH"
"DataGrip","JetBrains s.r.o."
"DataGrip (EAP)","JetBrains s.r.o."
"Datto Windows Agent","Datto Inc."
"DAX Studio","DAX Studio"
"DB Browser for SQLite","DB Browser for SQLite Team"
"DBeaver","DBeaver Corp"
"DefenderUI","VoodooSoft, LLC"
"Dell Command Configure","Dell Inc."
"Dell Command Update","Dell Inc."
"Dell Command Update for Windows Universal","Dell Inc."
"Dell Display Manager","Dell Inc."
"Deskflow","Deskflow"
"Devolutions Workspace","Devolutions inc."
"DevPod","Loft Labs, Inc."
"Dialpad","Dialpad"
"Discord","Discord Inc."
"DisplayLink Graphics","DisplayLink Corp."
"Ditto","Scott Brogden"
"dnGREP","dnGrep Community Contributors"
"Docker CLI","Docker Inc."
"Docker Desktop","Docker Inc."
"Double Commander","Alexander Koblov"
"draw.io","JGraph"
"Dropbox","Dropbox, Inc."
"Drovio","Drovio"
"Duo Authentication for Windows Logon (MSI)","Duo Security Inc."
"DYMO Label","Sanford L.P."
"Easy Connection to Screen","Samsung"
"Eclipse Temurin JDK with Hotspot","Eclipse Adoptium"
"Eclipse Temurin JDK with Hotspot 11","Eclipse Adoptium"
"Eclipse Temurin JDK with Hotspot 17","Eclipse Adoptium"
"Eclipse Temurin JDK with Hotspot 18","Eclipse Adoptium"
"Eclipse Temurin JDK with Hotspot 8","Eclipse Adoptium"
"eDrawings","SolidWorks Corporation"
"EdrawMind","EdrawSoft Co.,Ltd."
"Egnyte Desktop App","Egnyte, Inc."
"Egnyte WebEdit","Egnyte, Inc"
"Elevate UC","Serverdata.net, Inc."
"Elgato 4K Capture Utility","Corsair Memory, Inc."
"Elgato Camera Hub","Corsair Memory, Inc."
"Elgato Control Center","Elgato Systems"
"Elgato Stream Deck","Elgato Systems GmbH"
"Elgato Wave Link","Elgato Systems"
"Embrava Connect","Embrava Pty Ltd"
"Encompass","ICE Mortgage Technology, Inc."
"Encrypto","MacPaw, Inc."
"Enpass","Enpass Technologies Inc."
"Escrcpy","viarotel"
"ESET Endpoint Antivirus","ESET, spol. s r.o."
"Espanso","Federico Terzi"
"Evernote","Evernote Corporation"
"Everything","voidtools"
"Everything Lite","voidtools"
"EVO","Audient"
"Exclaimer Cloud Signature Update Agent","Exclaimer Ltd"
"ExpressVPN","ExpressVPN"
"FastStone Capture","FastStone Corporation"
"FastStone Image Viewer","FastStone Corporation"
"FFmpeg","Gyan"
"Fiddler Everywhere","Progress Software Corporation"
"Figma","Figma, Inc."
"Firefox Developer Edition","Mozilla"
"Flameshot","flameshot-org"
"FlashBack Pro 5","Blueberry Software (UK) Ltd."
"Flow Launcher","Flow-Launcher Team"
"f.lux","f.lux Software LLC"
"Fork - a fast and friendly git client","Fork"
"Foxit PDF Editor","Foxit Software Inc."
"Foxit PDF Editor (Subscription)","Foxit Software Inc."
"Foxit PDF Reader","Foxit Software Inc."
"FreeCAD","FreeCAD Team"
"Free Download Manager","Softdeluxe"
"GameMaker","YoYo Games Ltd."
"GanttProject","BarD Software s.r.o."
"Garmin Express","Garmin Ltd or its subsidiaries"
"GenesysCloud","Genesys Inc."
"Gephi","Gephi"
"GIMP","The GIMP Team"
"Git","The Git Development Community"
"GitButler","GitButler"
"Git Extensions","Git Extensions Team"
"GitHub CLI","GitHub, Inc."
"GitHub Desktop (User Install)","GitHub, Inc."
"Gitify","Emmanouil Konstantinidis"
"GitKraken","GitKraken"
"Git LFS","GitHub, Inc."
"Glary Utilities","Glarysoft Ltd"
"Global VPN Client","SonicWall"
"GLPI Agent","GLPI-Project"
"GNU Emacs","GNU Project"
"GoLand","JetBrains s.r.o."
"GoodSync","Siber Systems Inc"
"Google Chrome"," Google"
"Google Chrome Beta","Google LLC"
"Google Chrome Canary","Google LLC"
"Google Chrome (EXE)","Google LLC"
"Google Drive","Google LLC"
"Google Earth Pro","Google"
"Go Programming Language","https://go.dev"
"GoToMeeting","LogMeIn, Inc."
"Gpg4win","The Gpg4win Project"
"Grammarly for Windows","Grammarly Inc."
"Graphisoft BIMx Desktop Viewer","GRAPHISOFT SE"
"Graphviz","Graphviz"
"Greenfoot","Greenfoot Team"
"Greenshot","Greenshot"
"grepWin","Stefans Tools"
"Groovy 4","The Groovy Team"
"HandBrake","The HandBrake Team"
"Handle","Microsoft Corporation"
"Hashicorp Terraform","HashiCorp"
"HeidiSQL","Ansgar Becker"
"Helm","Helm"
"HP Client Management Script Library","HP Development Company, L.P."
"IBM Semeru Runtime Open Edition (JRE)","IBM"
"iCloud","Apple Inc."
"ImageGlass","Duong Dieu Phap"
"iMazing Profile Editor","DigiDNA"
"ImgBurn","LIGHTNING UK!"
"Inkscape","Inkscape"
"Insomnia","Kong"
"Intel  Driver & Support Assistant","Intel"
"IntelliJ IDEA Community Edition","JetBrains s.r.o."
"IntelliJ IDEA Ultimate Edition","JetBrains s.r.o."
"IrfanView","Irfan Skiljan"
"iTunes","Apple Inc."
"Jabra Direct","GN Audio A/S"
"Jackett","Jackett"
"Java 8","Oracle Corporation"
"Java 8 (32-Bit)","Oracle Corporation"
"Java SE Development Kit 17","Oracle Corporation"
"Java SE Development Kit 18","Oracle Corporation"
"Java SE Development Kit 21","Oracle Corporation"
"JetBrains Rider","JetBrains s.r.o."
"JetBrains Rider (EAP)","JetBrains s.r.o."
"JetBrains Space","JetBrains s.r.o."
"JetBrains Toolbox","JetBrains"
"Joplin","Laurent Cozic"
"k6","Raintank Inc. d.b.a. Grafana Labs"
"KeePass","Dominik Reichl"
"KeePassXC","KeePassXC Team"
"Keeper  Password Manager","Keeper Security Inc"
"KeyStore Explorer","Kai Kramer"
"KiCad","KiCad"
"K-Lite Codec Pack Full","KLCP"
"KNIME Analytics Platform","KNIME AG"
"Kodi","XBMC Foundation"
"KopiaUI","Kopia Authors"
"Krisp","Krisp Technologies, Inc."
"Krita","Krita Foundation"
"Kubernetes - Minikube - A Local Kubernetes Development Environment","Kubernetes"
"Laragon","leokhoa"
"LastPass","GoTo Group, Inc."
"Lenovo Dock Manager","Lenovo"
"Lenovo Migration Assistant","Lenovo"
"Lenovo System Update","Lenovo"
"LibreOffice","The Document Foundation"
"LightBurn","LightBurn Software"
"Lightshot","Skillbrains"
"LINE","LINE Corporation"
"Linphone","Belledonne Communications SARL"
"LINQPad 7","Joseph Albahari"
"LLVM","LLVM"
"LM Studio","LM Studio"
"Local Administrator Password Solution","Microsoft Corporation"
"LocalSend","Tien Do Nam"
"Logi Bolt","Logi"
"Logi Options+","Logitech"
"Logitech Gaming Software","Logitech Inc."
"Logitech G HUB","Logitech"
"Logitech Options","Logitech"
"Logitech Presentation","Logitech"
"Logitech Solar App","Logitech"
"Logitech Sync","Logitech Europe S.A."
"Logitech Unifying Software","Logitech"
"Logi Tune","Logitech"
"Logseq","Logseq"
"Loom","Loom, Inc."
"LsAgent","Lansweeper"
"Mailbird","Mailbird"
"Malwarebytes","Malwarebytes"
"Mambaforge","conda-forge"
"ManicTime","Finkit d.o.o."
"MariaDB","MariaDB Corporation Ab"
"Mark Text","Jocs"
"Master Packager","Master Packager Ltd."
"MathType 7","WIRIS"
"Mattermost","Mattermost, Inc."
"Meld","Kai Willadsen"
"MicroDicom DICOM Viewer","MicroDicom"
"MicroSIP","www.microsip.org"
"Microsoft 365 Apps for enterprise","Microsoft Corporation"
"Microsoft ASP.NET Core Hosting Bundle 8.0","Microsoft Corporation"
"Microsoft ASP.NET Core Runtime 6.0","Microsoft Corporation"
"Microsoft ASP.NET Core Runtime 7.0","Microsoft Corporation"
"Microsoft ASP.NET Core Runtime 8.0","Microsoft Corporation"
"Microsoft Azure CLI","Microsoft Corporation"
"Microsoft Azure Information Protection Viewer","Microsoft Corporation"
"Microsoft Azure Storage Explorer","Microsoft Corporation"
